Date Time O3_ref O3_p1 O3_gen
04/30/26 "05:38:00 PM" 181.397 182.598 180
04/30/26 "05:39:00 PM" 181.16 183.102 180
04/30/26 "05:40:00 PM" 181.18 182.618 180
04/30/26 "05:41:00 PM" 181.687 182.807 180
04/30/26 "05:42:00 PM" 181.603 183.127 180
04/30/26 "05:43:00 PM" 181.973 183.323 180
04/30/26 "05:44:00 PM" 181.43 183.263 180
04/30/26 "05:45:00 PM" 181.053 183.118 180
04/30/26 "05:46:00 PM" 180.783 182.547 180
04/30/26 "05:47:00 PM" 181.1 182.312 180
04/30/26 "05:48:00 PM" 181.327 183.03 180
04/30/26 "05:49:00 PM" 181 182.695 180
04/30/26 "05:50:00 PM" 180.927 182.188 180
04/30/26 "05:51:00 PM" 181.56 182.405 180
04/30/26 "05:52:00 PM" 181.137 182.558 180
04/30/26 "05:53:00 PM" 181.613 182.413 180
04/30/26 "05:54:00 PM" 181.377 182.682 180
04/30/26 "05:55:00 PM" 182.057 182.968 180
04/30/26 "05:56:00 PM" 181.16 182.933 180
04/30/26 "05:57:00 PM" 181.33 183.115 180
04/30/26 "05:58:00 PM" 181.747 183.687 180
04/30/26 "05:59:00 PM" 182.127 183.985 180
04/30/26 "06:00:00 PM" 181.293 183.918 180
04/30/26 "06:01:00 PM" 181.472 183.763 180
04/30/26 "06:02:00 PM" 178.903 178.993 180
04/30/26 "06:03:00 PM" 120.31 126.517 120
04/30/26 "06:04:00 PM" 100.047 101.8 120
04/30/26 "06:05:00 PM" 106.3 103.958 120
04/30/26 "06:06:00 PM" 117.267 112.447 120
04/30/26 "06:07:00 PM" 119.823 118.918 120
04/30/26 "06:08:00 PM" 120.68 121.378 120
04/30/26 "06:09:00 PM" 120.503 121.687 120
04/30/26 "06:10:00 PM" 120.313 122.585 120
04/30/26 "06:11:00 PM" 120.467 122.498 120
04/30/26 "06:12:00 PM" 119.86 122.292 120
04/30/26 "06:13:00 PM" 120.573 122.055 120
04/30/26 "06:14:00 PM" 120.287 121.96 120
04/30/26 "06:15:00 PM" 121.167 122.458 120
04/30/26 "06:16:00 PM" 120.877 123.1 120
04/30/26 "06:17:00 PM" 120.503 122.932 120
04/30/26 "06:18:00 PM" 120.933 122.533 120
04/30/26 "06:19:00 PM" 121.02 122.523 120
04/30/26 "06:20:00 PM" 120.13 122.407 120
04/30/26 "06:21:00 PM" 120.34 122.07 120
04/30/26 "06:22:00 PM" 120.683 122.348 120
04/30/26 "06:23:00 PM" 119.793 122.07 120
04/30/26 "06:24:00 PM" 120.48 122.36 120
04/30/26 "06:25:00 PM" 120.707 122.492 120
04/30/26 "06:26:00 PM" 121.117 122.065 120
04/30/26 "06:27:00 PM" 121.387 122.05 120
04/30/26 "06:28:00 PM" 120.71 122.815 120
04/30/26 "06:29:00 PM" 120.493 122.518 120
04/30/26 "06:30:00 PM" 121.36 122.457 120
04/30/26 "06:31:00 PM" 120.633 122.732 120
04/30/26 "06:32:00 PM" 120.687 122.44 120
04/30/26 "06:33:00 PM" 120.62 122.08 120
04/30/26 "06:34:00 PM" 120.167 121.757 120
04/30/26 "06:35:00 PM" 120.773 122.222 120
04/30/26 "06:36:00 PM" 121.417 122.363 120
04/30/26 "06:37:00 PM" 120.757 122.462 120
04/30/26 "06:38:00 PM" 120.753 122.448 120
04/30/26 "06:39:00 PM" 121.087 122.385 120
04/30/26 "06:40:00 PM" 121.213 122.623 120
04/30/26 "06:41:00 PM" 120.96 123.015 120
04/30/26 "06:42:00 PM" 121.21 122.443 120
04/30/26 "06:43:00 PM" 121.447 122.345 120
04/30/26 "06:44:00 PM" 120.873 122.18 120
04/30/26 "06:45:00 PM" 120.58 122.073 120
04/30/26 "06:46:00 PM" 120.65 122.6 120
04/30/26 "06:47:00 PM" 120.313 122.44 120
04/30/26 "06:48:00 PM" 120.57 121.992 120
04/30/26 "06:49:00 PM" 121.117 121.945 120
04/30/26 "06:50:00 PM" 120.957 122.453 120
04/30/26 "06:51:00 PM" 120.753 122.58 120
